price,year,mileage,engine_l,fuel,gearbox,city,views,car_age,price_per_km
3300000.0,2016.0,188000.0,1.6,petrol,manual,Шымкент,0,9.0,17.5531914893617
8600000.0,2021.0,104000.0,2.0,petrol,automatic,Костанай,0,4.0,82.6923076923077
19000000.0,2023.0,48000.0,2.5,petrol,other,Астана,0,2.0,395.8333333333333
15390000.0,2024.0,8500.0,2.0,petrol,automatic,Костанай,0,1.0,1810.5882352941176
700000.0,1991.0,246000.0,1.8,petrol,manual,Алматы,0,34.0,2.845528455284553
42000000.0,2021.0,60000.0,3.0,petrol,automatic,Караганда,0,4.0,700.0
42000000.0,2021.0,60000.0,3.0,petrol,automatic,Караганда,0,4.0,700.0
2800000.0,1997.0,356000.0,2.8,petrol,manual,Астана,0,28.0,7.865168539325842
29500000.0,2023.0,17000.0,2.0,petrol,automatic,Алматы,0,2.0,1735.2941176470588
4430000.0,2006.0,350000.0,2.4,petrol,manual,Алматы,0,19.0,12.657142857142857
7200000.0,2024.0,38000.0,,other,automatic,Алматы,0,1.0,189.47368421052633
2700000.0,1997.0,350000.0,3.2,petrol,automatic,Актау,0,28.0,7.714285714285714
6000000.0,2013.0,278000.0,1.6,petrol,automatic,Алматы,0,12.0,21.58273381294964
3550000.0,2016.0,117000.0,1.5,petrol,manual,Костанай,0,9.0,30.34188034188034
12000000.0,2014.0,164965.0,2.5,diesel,manual,Алматы,0,11.0,72.74270299760555
7750000.0,2013.0,239500.0,3.5,petrol,cvt,Усть-Каменогорск,0,12.0,32.35908141962422
4000000.0,2014.0,85000.0,2.9,petrol,manual,Актобе,0,11.0,47.05882352941177
635000.0,2002.0,358000.0,1.5,petrol,manual,Щучинск,0,23.0,1.7737430167597765
1700000.0,2013.0,236000.0,1.6,petrol,manual,Караганда,0,12.0,7.203389830508475
14500000.0,2011.0,200000.0,3.5,petrol,automatic,Жезказган,0,14.0,72.5
10000000.0,2018.0,76500.0,3.5,petrol,automatic,Уральск,0,7.0,130.718954248366
5500000.0,2001.0,431000.0,3.2,petrol,automatic,Алматы,0,24.0,12.761020881670534
18000000.0,2023.0,113000.0,2.5,petrol,automatic,Алматы,0,2.0,159.2920353982301
47000000.0,2014.0,7370.0,5.0,petrol,automatic,Алматы,0,11.0,6377.204884667572
2400000.0,2003.0,555555.0,1.6,petrol,manual,Туркестан,0,22.0,4.32000432000432
14700000.0,2019.0,130000.0,2.5,petrol,automatic,Алматы,0,6.0,113.07692307692308
14700000.0,2019.0,130000.0,2.5,petrol,automatic,Алматы,0,6.0,113.07692307692308
9200000.0,2021.0,72000.0,1.6,petrol,automatic,Астана,0,4.0,127.77777777777777
2800000.0,1997.0,777777.0,3.0,petrol,automatic,Астана,0,28.0,3.6000036000036
1400000.0,1994.0,123456.0,2.0,petrol,manual,Астана,0,31.0,11.34007257646449
5000000.0,2001.0,370500.0,3.0,petrol,automatic,Алматы,0,24.0,13.49527665317139
8000000.0,2000.0,,4.7,petrol,automatic,Шымкент,0,25.0,
9000000.0,2023.0,39000.0,1.5,petrol,cvt,Алматы,0,2.0,230.76923076923077
1150000.0,1994.0,,2.8,petrol,manual,Астана,0,31.0,
15999999.0,2023.0,33000.0,2.5,petrol,automatic,Актобе,0,2.0,484.84845454545456
5000000.0,2002.0,250000.0,3.0,petrol,automatic,Жанаозен,0,23.0,20.0
21200000.0,2024.0,12000.0,2.5,petrol,other,Уральск,0,1.0,1766.6666666666667
8450000.0,2015.0,140000.0,2.4,petrol,automatic,Алматы,0,10.0,60.357142857142854
4000000.0,1997.0,547080.0,3.2,petrol,automatic,Алматы,0,28.0,7.311544929443591
3400000.0,2010.0,270000.0,1.6,petrol,automatic,Алматы,0,15.0,12.592592592592593
9500000.0,2021.0,160000.0,2.9,petrol,manual,Алматы,0,4.0,59.375
8005000.0,2025.0,,1.5,other,cvt,Алматы,0,0.0,
9000000.0,2022.0,60000.0,1.6,petrol,automatic,Астана,0,3.0,150.0
6500000.0,2007.0,100000.0,3.5,petrol,automatic,Актобе,0,18.0,65.0
40000000.0,2021.0,11600.0,,other,automatic,Алматы,0,4.0,3448.2758620689656
4900000.0,2020.0,15375.0,1.7,petrol,manual,Алматы,0,5.0,318.6991869918699
8000000.0,2011.0,280000.0,3.0,petrol,automatic,Усть-Каменогорск,0,14.0,28.571428571428573
1400000.0,1991.0,,2.3,petrol,automatic,Тараз,0,34.0,
10850000.0,2015.0,190000.0,2.5,petrol,automatic,Петропавловск,0,10.0,57.10526315789474
8800000.0,2022.0,50000.0,2.0,petrol,other,Алматы,0,3.0,176.0
1400000.0,1997.0,305000.0,1.8,petrol,automatic,Атырау,0,28.0,4.590163934426229
11900000.0,2014.0,270000.0,3.7,petrol,manual,Уральск,0,11.0,44.074074074074076
21500000.0,2025.0,12000.0,1.5,other,automatic,Алматы,0,0.0,1791.6666666666667
2950000.0,2002.0,,2.5,petrol,automatic,Алматы,0,23.0,
97000000.0,2020.0,50000.0,4.0,petrol,automatic,Алматы,0,5.0,1940.0
60000000.0,2018.0,92000.0,4.0,petrol,automatic,Алматы,0,7.0,652.1739130434783
13500000.0,2025.0,20000.0,2.0,petrol,other,Актау,0,0.0,675.0
8999999.0,2009.0,300000.0,2.5,diesel,manual,Шымкент,0,16.0,29.999996666666668
4300000.0,2020.0,108000.0,1.6,petrol,manual,Павлодар,0,5.0,39.81481481481482
15500000.0,2025.0,17360.0,2.5,petrol,automatic,Алматы,0,0.0,892.8571428571429
6000000.0,2011.0,,2.5,petrol,automatic,Алматы,0,14.0,
6500000.0,2007.0,448104.0,3.0,petrol,automatic,Астана,0,18.0,14.505561209005052
22250000.0,2024.0,31000.0,2.5,petrol,automatic,Шымкент,0,1.0,717.741935483871
23000000.0,2025.0,,2.5,petrol,automatic,Актобе,0,0.0,
3800000.0,2014.0,197500.0,1.5,petrol,automatic,Шымкент,0,11.0,19.240506329113924
3990000.0,2015.0,167456.0,2.0,petrol,manual,Караганда,0,10.0,23.82715459583413
3990000.0,2015.0,167456.0,2.0,petrol,manual,Караганда,0,10.0,23.82715459583413
7000000.0,2007.0,,5.0,petrol,automatic,Алматы,0,18.0,
1450000.0,2012.0,222222.0,1.6,petrol,manual,Шымкент,0,13.0,6.525006525006525
4400000.0,2014.0,200000.0,1.6,petrol,automatic,Астана,0,11.0,22.0
13500000.0,2017.0,180000.0,2.2,diesel,manual,Усть-Каменогорск,0,8.0,75.0
7990000.0,2024.0,37815.0,1.5,petrol,automatic,Караганда,0,1.0,211.2918154171625
14900000.0,2020.0,,3.0,petrol,automatic,Шымкент,0,5.0,
9800000.0,2004.0,,4.7,petrol,automatic,Актау,0,21.0,
